,coupe,pickup,sedan,suv,crossover
0,506,522,200,538,154
1,525,523,244,516,140
2,560,470,243,499,142
3,614,458,243,514,147
4,636,459,246,522,142
5,1054,424,260,602,150
6,1299,407,249,640,150
7,725,316,189,410,109
8,579,304,190,406,105
9,611,292,192,401,105
10,549,297,190,419,107
11,484,291,190,427,104
12,532,301,200,508,109
13,510,323,193,539,112
14,1184,1149,540,1286,304
15,1303,1030,583,1367,328
16,1358,966,573,1319,322
17,1400,946,576,1308,322
18,1401,919,580,1362,328
19,1620,883,616,1606,334
20,1635,860,603,1716,350
21,598,419,273,654,152
22,695,313,216,466,116
23,962,304,213,464,117
24,967,304,208,465,116
25,730,301,213,490,119
26,596,316,228,568,123
27,600,317,224,608,129
28,548,344,235,530,131
29,858,512,348,742,194
30,1033,493,343,709,187
31,1026,494,338,714,190
32,1067,496,340,771,190
33,1175,518,368,911,202
34,1286,518,361,968,202
35,632,349,241,569,132
36,586,322,218,463,117
37,815,315,216,473,113
38,911,319,217,484,117
39,850,318,219,489,124
40,593,326,219,579,131
41,589,329,221,622,133
42,1127,787,486,1192,299
43,1414,984,623,1399,358
44,1444,976,621,1358,348
45,1422,932,619,1324,353
46,1479,915,620,1385,354
47,1603,938,662,1640,363
48,1614,979,672,1809,379
49,1365,1192,599,1494,338
50,1294,970,599,1313,318
51,1305,889,579,1224,304
52,1295,867,590,1243,302
53,1381,867,618,1310,310
54,1495,848,623,1469,331
55,1537,849,618,1589,321
56,992,570,384,945,215
57,613,362,254,535,133
58,823,354,251,517,130
59,1014,347,243,508,153
60,945,354,242,528,247
61,669,365,254,599,198
62,662,371,265,673,177
63,875,568,377,878,230
64,1153,712,479,1026,277
65,1410,696,475,1015,269
66,1268,699,466,995,264
67,1286,702,479,1036,284
68,1324,713,492,1171,286
69,1379,711,511,1315,286
70,1255,730,493,1195,299
71,1202,755,514,1099,293
72,1199,732,502,1043,270
73,1268,713,500,1035,265
74,1393,717,499,1082,275
75,1398,721,521,1206,287
76,1558,729,528,1385,309
77,1111,610,408,1027,236
78,752,461,308,663,177
79,776,452,308,647,188
80,769,447,311,658,188
81,790,445,310,663,190
82,1034,447,316,733,186
83,935,456,332,828,194
84,785,428,292,723,178
85,658,378,252,528,145
86,772,368,243,512,141
87,661,395,246,574,142
88,665,416,250,600,148
89,763,396,263,634,150
90,1070,372,255,640,149
91,929,527,332,829,206
92,1090,675,428,971,255
93,1049,638,408,864,239
94,1068,631,403,876,233
95,1132,630,413,886,231
96,1310,637,416,945,236
97,1405,643,439,1069,243
98,1469,736,460,1099,270
99,1325,812,535,1121,298
100,1339,784,523,1072,302
101,1364,778,522,1089,293
102,1462,791,534,1119,296
103,1546,797,551,1257,295
104,1566,805,574,1402,309
105,1237,651,427,1078,257
106,497,298,193,408,115
107,796,298,192,390,107
108,692,287,191,395,106
109,530,284,193,410,107
110,542,283,197,437,107
111,716,292,208,499,114
112,773,458,289,701,174
113,1259,728,472,997,262
114,1264,702,492,998,261
115,1265,688,516,986,275
116,1337,694,507,1008,297
117,1304,710,498,1077,282
118,1390,727,519,1198,291
119,1320,732,471,1154,277
120,1019,612,397,808,222
121,1147,580,362,785,216
122,1059,553,363,725,206
123,1182,556,373,749,206
124,1145,566,381,800,207
125,1236,565,393,903,217
126,1046,489,318,758,179
127,451,248,158,321,90
128,827,239,158,316,89
129,527,244,156,324,86
130,458,241,155,382,86
131,485,242,162,399,87
132,567,234,169,430,92
133,492,214,143,395,85
134,269,139,95,202,51
135,281,136,90,195,49
136,344,137,89,196,49
137,522,136,92,202,52
138,407,134,94,211,49
139,368,133,97,232,52
140,395,184,118,297,69
141,717,323,212,457,115
142,709,313,210,441,109
143,754,306,211,438,110
144,761,317,202,445,104
145,798,323,207,472,108
146,982,325,217,527,112
147,889,380,204,521,113
148,799,327,164,366,91
149,715,312,164,338,87
150,682,288,163,335,89
151,718,276,161,339,87
152,886,263,162,342,85
153,846,258,170,397,92
154,817,254,161,397,91
155,522,179,109,226,61
156,547,176,111,223,59
157,554,172,108,228,61
158,577,170,114,230,59
159,647,173,115,246,60
160,834,175,118,294,61
161,820,171,108,288,66
162,165,38,24,51,12
163,179,37,24,49,12
164,243,37,24,47,11
165,480,35,24,47,11
166,669,33,24,49,9
167,898,34,24,57,11
168,792,33,24,59,12
169,657,37,24,48,10
170,626,33,24,49,8
171,689,35,24,46,9
172,726,33,24,47,8
173,716,34,24,53,12
174,803,35,24,58,12
175,755,34,24,58,11
176,641,31,23,39,7
177,687,31,24,38,6
178,679,31,24,36,6
179,605,31,24,37,5
180,315,31,24,40,6
181,685,30,24,45,6
182,790,30,24,45,7
183,596,32,24,36,5
184,541,35,24,37,5
185,295,35,24,40,6
186,190,37,24,38,2
187,660,31,24,38,5
188,695,29,24,44,5
189,286,31,24,48,8
190,218,37,24,45,10
191,500,34,24,46,9
192,546,33,24,44,8
193,289,37,24,47,9
194,186,37,24,48,10
195,367,36,24,57,11
196,742,35,24,59,11
197,1424,118,73,159,37
198,720,135,90,181,45
