,coupe,pickup,sedan,suv,crossover
0,222,248,76,212,50
1,518,535,202,481,114
2,490,473,211,488,111
3,592,437,210,499,112
4,960,408,217,548,118
5,1268,398,208,570,119
6,797,396,207,462,115
7,717,418,229,493,127
8,820,406,223,497,120
9,803,398,226,528,124
10,612,392,227,531,123
11,690,392,238,628,127
12,650,395,230,660,134
13,533,416,224,552,124
14,846,592,340,820,183
15,938,613,355,849,188
16,968,609,364,867,191
17,930,616,362,891,193
18,1115,621,381,1030,201
19,1078,659,365,1075,206
20,880,889,356,914,191
21,776,546,275,663,145
22,970,460,244,595,130
23,926,449,249,585,126
24,781,432,242,581,125
25,689,411,253,678,127
26,722,423,259,734,137
27,565,431,247,593,128
28,695,490,289,658,149
29,925,486,264,608,137
30,892,529,284,660,148
31,826,525,283,668,150
32,860,509,298,787,155
33,590,391,238,660,130
34,290,183,113,260,55
35,585,410,237,579,127
36,748,359,214,510,115
37,913,363,213,505,114
38,637,364,212,516,114
39,571,363,224,606,117
40,588,366,226,656,120
41,487,371,209,557,115
42,975,833,460,1100,248
43,1281,994,565,1321,291
44,1227,1008,561,1313,293
45,1260,1015,568,1373,290
46,1427,984,634,1652,306
47,1485,1023,616,1797,322
48,1313,1316,590,1592,313
49,1310,1215,676,1550,336
50,1367,1120,633,1488,326
51,1347,1079,634,1485,345
52,1404,1060,624,1528,350
53,1534,1029,656,1754,356
54,1565,1041,658,1871,361
55,1459,1050,613,1628,345
56,863,648,387,892,205
57,708,355,225,514,116
58,923,346,213,504,112
59,653,359,218,522,113
60,563,362,221,582,119
61,561,371,222,632,125
62,519,392,212,579,122
63,809,626,355,893,200
64,1083,787,439,1117,249
65,1267,774,448,1083,240
66,1113,805,453,1115,242
67,1196,848,473,1241,247
68,1203,847,476,1364,257
69,1165,845,453,1184,252
70,1168,980,553,1275,287
71,1349,1028,591,1346,308
72,1353,1017,577,1363,297
73,1408,1038,597,1467,313
74,1536,1089,638,1640,312
75,1672,1127,655,1810,332
76,1547,1154,604,1587,319
77,1136,966,522,1223,265
78,907,705,402,925,205
79,958,694,403,923,202
80,1073,720,410,957,200
81,1255,729,420,1049,203
82,1209,765,440,1183,223
83,1118,797,410,1065,212
84,839,612,325,726,165
85,514,379,213,472,110
86,505,375,216,479,119
87,510,416,212,485,108
88,592,395,217,532,109
89,1008,395,229,608,114
90,587,389,208,529,107
91,509,410,232,471,109
92,788,389,227,492,108
93,829,386,214,497,110
94,544,387,222,506,109
95,573,396,226,561,112
96,592,412,229,625,118
97,583,420,218,575,116
98,722,610,320,752,170
99,1097,846,464,1052,240
100,1092,812,455,1061,233
101,1140,821,472,1080,234
102,1352,860,484,1176,239
103,1286,901,506,1353,247
104,1223,882,463,1227,240
105,1099,980,506,1166,263
106,1340,1019,564,1296,294
107,1401,1034,552,1358,281
108,1485,1142,607,1430,292
109,1513,1150,583,1515,302
110,1611,1114,591,1592,298
111,1591,1145,560,1558,297
112,1049,834,448,1028,221
113,267,202,113,257,57
114,273,202,111,263,57
115,272,202,113,262,59
116,285,205,114,277,60
117,766,206,114,312,60
118,406,216,108,294,60
119,453,442,228,539,123
120,1169,924,489,1126,260
121,1243,913,485,1120,261
122,1268,902,500,1146,279
123,1300,939,520,1251,296
124,1355,935,519,1401,289
125,1320,951,487,1324,271
126,1147,1008,523,1207,279
127,1324,1030,556,1287,285
128,1494,1026,547,1290,288
129,1476,1057,605,1356,306
130,1527,1067,606,1454,300
131,1752,1077,614,1586,302
132,1561,1064,588,1587,300
133,1306,1054,589,1297,291
134,1206,909,516,1153,260
135,1272,901,516,1181,265
136,1240,909,528,1220,277
137,1357,940,542,1283,270
138,1629,960,576,1427,269
139,1513,993,542,1425,277
140,1224,884,488,1085,246
141,771,541,304,692,153
142,766,535,324,690,152
143,756,524,319,675,150
144,844,558,326,736,151
145,1150,563,322,821,154
146,940,695,302,799,156
147,839,781,336,769,165
148,1088,915,433,928,210
149,1135,831,406,904,207
150,1119,807,415,924,212
151,1284,780,414,948,207
152,1395,774,431,1027,210
153,1316,875,430,1073,226
154,1101,787,367,784,185
155,254,162,75,171,39
156,256,151,79,175,38
157,274,151,77,179,40
158,638,153,85,189,38
159,602,155,93,211,40
160,469,162,90,220,41
161,447,155,91,186,40
162,488,183,101,221,53
163,701,189,104,225,52
164,545,187,105,225,50
165,501,188,107,238,53
166,556,191,111,270,53
167,533,191,104,282,54
168,675,192,104,229,52
169,321,104,58,122,27
170,309,103,55,123,26
171,352,102,56,128,26
172,323,101,58,131,25
173,393,105,59,146,26
174,613,111,58,155,26
175,496,105,56,123,26
176,494,140,74,163,35
177,397,139,73,165,36
178,435,138,75,171,36
179,645,139,73,172,34
180,584,142,78,196,35
181,420,146,73,199,37
182,367,146,71,161,35
183,517,167,82,178,39
184,492,191,81,181,40
185,384,206,88,193,40
186,397,194,86,190,40
187,539,169,90,220,42
188,834,169,84,232,41
189,432,173,85,197,40
190,415,226,121,272,61
191,462,231,124,281,63
192,600,234,129,298,61
193,479,239,129,305,63
194,409,238,138,352,62
