date,used cars for sale,fuel efficient,sedan,suv,4wd,isPartial
2018-01-01 00:00:00,10,1,23,68,16,False
2018-01-01 01:00:00,10,1,23,69,17,False
2018-01-01 02:00:00,9,1,23,68,17,False
2018-01-01 03:00:00,10,1,24,70,18,False
2018-01-01 04:00:00,9,1,23,65,18,False
2018-01-01 05:00:00,8,1,20,58,17,False
2018-01-01 06:00:00,8,1,20,54,16,False
2018-01-01 07:00:00,7,1,19,48,16,False
2018-01-01 08:00:00,6,1,18,47,15,False
2018-01-01 09:00:00,6,1,18,46,15,False
2018-01-01 10:00:00,6,0,19,50,15,False
2018-01-01 11:00:00,6,1,20,47,13,False
2018-01-01 12:00:00,6,0,21,52,11,False
2018-01-01 13:00:00,7,1,22,56,10,False
2018-01-01 14:00:00,8,1,24,58,9,False
2018-01-01 15:00:00,9,1,24,59,9,False
2018-01-01 16:00:00,10,1,25,61,9,False
2018-01-01 17:00:00,10,1,25,65,8,False
2018-01-01 18:00:00,11,1,26,72,9,False
2018-01-01 19:00:00,13,1,28,83,10,False
2018-01-01 20:00:00,13,1,28,81,11,False
2018-01-01 21:00:00,14,1,29,78,14,False
2018-01-01 22:00:00,14,1,32,78,15,False
2018-01-01 23:00:00,13,1,34,76,19,False
2018-01-02 00:00:00,15,1,35,80,19,False
2018-01-02 01:00:00,15,1,32,81,20,False
2018-01-02 02:00:00,13,1,31,77,20,False
2018-01-02 03:00:00,14,1,30,80,21,False
2018-01-02 04:00:00,13,1,28,71,19,False
2018-01-02 05:00:00,11,1,28,58,19,False
2018-01-02 06:00:00,9,1,22,51,17,False
2018-01-02 07:00:00,8,1,21,46,15,False
2018-01-02 08:00:00,6,1,19,43,14,False
2018-01-02 09:00:00,6,0,21,41,13,False
2018-01-02 10:00:00,6,1,24,46,13,False
2018-01-02 11:00:00,6,1,23,48,12,False
2018-01-02 12:00:00,7,0,25,47,10,False
2018-01-02 13:00:00,7,0,26,51,10,False
2018-01-02 14:00:00,7,1,27,49,9,False
2018-01-02 15:00:00,9,1,27,53,10,False
2018-01-02 16:00:00,9,1,29,55,8,False
2018-01-02 17:00:00,10,1,33,60,9,False
2018-01-02 18:00:00,12,1,32,62,9,False
2018-01-02 19:00:00,12,1,31,67,10,False
2018-01-02 20:00:00,13,1,33,70,11,False
2018-01-02 21:00:00,13,1,33,73,13,False
2018-01-02 22:00:00,14,1,35,73,16,False
2018-01-02 23:00:00,14,1,39,73,18,False
2018-01-03 00:00:00,15,1,39,73,20,False
2018-01-03 01:00:00,15,1,34,75,19,False
2018-01-03 02:00:00,15,1,32,94,20,False
2018-01-03 03:00:00,15,1,29,74,20,False
2018-01-03 04:00:00,13,1,27,64,20,False
2018-01-03 05:00:00,11,1,26,60,18,False
2018-01-03 06:00:00,9,1,23,49,16,False
2018-01-03 07:00:00,8,1,21,44,14,False
2018-01-03 08:00:00,7,1,20,43,15,False
2018-01-03 09:00:00,8,1,21,40,13,False
2018-01-03 10:00:00,6,0,23,42,13,False
2018-01-03 11:00:00,6,0,24,43,12,False
2018-01-03 12:00:00,6,1,26,46,11,False
2018-01-03 13:00:00,7,1,27,48,10,False
2018-01-03 14:00:00,8,1,27,49,9,False
2018-01-03 15:00:00,8,1,27,52,9,False
2018-01-03 16:00:00,9,1,27,54,9,False
2018-01-03 17:00:00,11,1,29,58,9,False
2018-01-03 18:00:00,11,1,31,60,9,False
2018-01-03 19:00:00,11,1,31,64,10,False
2018-01-03 20:00:00,13,1,33,66,11,False
2018-01-03 21:00:00,13,1,34,71,14,False
2018-01-03 22:00:00,13,1,37,72,16,False
2018-01-03 23:00:00,13,1,40,70,18,False
2018-01-04 00:00:00,17,1,39,70,20,False
2018-01-04 01:00:00,14,1,40,76,22,False
2018-01-04 02:00:00,15,1,32,80,22,False
2018-01-04 03:00:00,14,1,29,76,22,False
2018-01-04 04:00:00,14,1,27,67,21,False
2018-01-04 05:00:00,11,1,26,60,19,False
2018-01-04 06:00:00,10,1,24,51,16,False
2018-01-04 07:00:00,7,1,21,49,15,False
2018-01-04 08:00:00,6,1,21,40,13,False
2018-01-04 09:00:00,6,1,23,43,14,False
2018-01-04 10:00:00,6,0,23,42,13,False
2018-01-04 11:00:00,6,1,24,45,14,False
2018-01-04 12:00:00,7,1,26,47,13,False
2018-01-04 13:00:00,7,1,26,51,13,False
2018-01-04 14:00:00,8,1,27,53,12,False
2018-01-04 15:00:00,8,1,28,53,12,False
2018-01-04 16:00:00,10,1,29,56,12,False
2018-01-04 17:00:00,10,1,29,62,12,False
2018-01-04 18:00:00,11,1,31,66,13,False
2018-01-04 19:00:00,11,1,32,68,13,False
2018-01-04 20:00:00,13,1,32,73,14,False
2018-01-04 21:00:00,13,1,33,72,16,False
2018-01-04 22:00:00,14,1,37,72,17,False
2018-01-04 23:00:00,15,1,37,72,20,False
2018-01-05 00:00:00,14,1,39,77,21,False
2018-01-05 01:00:00,16,1,37,78,20,False
2018-01-05 02:00:00,15,1,33,76,20,False
2018-01-05 03:00:00,15,1,31,76,22,False
2018-01-05 04:00:00,13,1,27,68,20,False
2018-01-05 05:00:00,12,1,25,58,18,False
2018-01-05 06:00:00,9,1,23,52,17,False
2018-01-05 07:00:00,7,1,21,47,14,False
2018-01-05 08:00:00,6,1,22,43,12,False
2018-01-05 09:00:00,6,1,21,43,12,False
2018-01-05 10:00:00,8,0,23,44,12,False
2018-01-05 11:00:00,6,1,24,45,12,False
2018-01-05 12:00:00,7,1,26,49,12,False
2018-01-05 13:00:00,7,1,25,50,11,False
2018-01-05 14:00:00,8,1,28,53,11,False
2018-01-05 15:00:00,9,1,27,54,11,False
2018-01-05 16:00:00,10,1,29,59,9,False
2018-01-05 17:00:00,11,1,28,61,10,False
2018-01-05 18:00:00,12,1,30,66,11,False
2018-01-05 19:00:00,12,1,32,69,12,False
2018-01-05 20:00:00,13,1,33,72,12,False
2018-01-05 21:00:00,13,1,34,75,14,False
2018-01-05 22:00:00,15,1,34,77,16,False
2018-01-05 23:00:00,14,1,37,76,19,False
2018-01-06 00:00:00,14,1,37,77,19,False
2018-01-06 01:00:00,15,1,41,81,21,False
2018-01-06 02:00:00,15,1,33,81,21,False
2018-01-06 03:00:00,15,1,32,82,21,False
2018-01-06 04:00:00,13,1,30,75,19,False
2018-01-06 05:00:00,12,1,27,64,19,False
2018-01-06 06:00:00,10,1,24,57,17,False
2018-01-06 07:00:00,9,1,22,51,16,False
2018-01-06 08:00:00,8,1,21,53,14,False
2018-01-06 09:00:00,7,1,22,51,13,False
2018-01-06 10:00:00,7,1,25,50,12,False
2018-01-06 11:00:00,7,0,27,54,12,False
2018-01-06 12:00:00,7,1,27,55,12,False
2018-01-06 13:00:00,9,1,28,61,12,False
2018-01-06 14:00:00,9,1,29,64,11,False
2018-01-06 15:00:00,11,1,30,68,11,False
2018-01-06 16:00:00,11,1,30,69,11,False
2018-01-06 17:00:00,12,1,30,75,10,False
2018-01-06 18:00:00,12,1,32,77,10,False
2018-01-06 19:00:00,13,1,33,80,11,False
2018-01-06 20:00:00,14,1,32,87,12,False
2018-01-06 21:00:00,14,1,34,94,13,False
2018-01-06 22:00:00,15,1,35,91,15,False
2018-01-06 23:00:00,14,1,39,93,18,False
2018-01-07 00:00:00,14,1,36,88,19,False
2018-01-07 01:00:00,14,1,36,92,24,False
2018-01-07 02:00:00,14,1,35,90,22,False
2018-01-07 03:00:00,16,2,31,100,22,False
2018-01-07 04:00:00,14,1,29,85,21,False
2018-01-07 05:00:00,12,1,26,69,20,False
2018-01-07 06:00:00,10,1,25,59,19,False
2018-01-07 07:00:00,10,1,23,56,16,False
2018-01-07 08:00:00,7,1,20,54,15,False
2018-01-07 09:00:00,7,1,22,56,15,False
2018-01-07 10:00:00,7,1,23,57,15,False
2018-01-07 11:00:00,7,1,27,57,13,False
2018-01-07 12:00:00,8,1,28,61,13,False
2018-01-07 13:00:00,10,1,27,62,11,False
2018-01-07 14:00:00,9,1,30,69,11,False
2018-01-07 15:00:00,10,1,27,67,10,False
2018-01-07 16:00:00,11,1,28,73,9,False
2018-01-07 17:00:00,11,1,28,74,9,False
2018-01-07 18:00:00,12,1,32,82,10,False
2018-01-07 19:00:00,13,1,31,87,11,False
2018-01-07 20:00:00,14,1,31,92,11,False
2018-01-07 21:00:00,14,1,32,92,14,False
2018-01-07 22:00:00,15,1,33,86,16,False
2018-01-07 23:00:00,15,1,36,94,18,False
2018-01-08 00:00:00,15,1,37,80,20,False
2018-01-08 00:00:00,13,1,34,73,18,False
2018-01-08 01:00:00,14,1,32,73,18,False
2018-01-08 02:00:00,14,1,29,71,17,False
2018-01-08 03:00:00,13,1,26,68,19,False
2018-01-08 04:00:00,13,1,26,60,18,False
2018-01-08 05:00:00,11,1,23,54,16,False
2018-01-08 06:00:00,9,1,21,48,15,False
2018-01-08 07:00:00,7,1,19,42,13,False
2018-01-08 08:00:00,6,0,19,40,13,False
2018-01-08 09:00:00,6,0,19,39,12,False
2018-01-08 10:00:00,6,1,21,40,12,False
2018-01-08 11:00:00,6,0,22,42,11,False
2018-01-08 12:00:00,6,0,24,45,10,False
2018-01-08 13:00:00,7,1,23,45,9,False
2018-01-08 14:00:00,7,1,24,49,9,False
2018-01-08 15:00:00,7,1,25,48,8,False
2018-01-08 16:00:00,8,1,26,52,8,False
2018-01-08 17:00:00,10,1,27,54,8,False
2018-01-08 18:00:00,11,1,29,59,8,False
2018-01-08 19:00:00,11,1,29,68,9,False
2018-01-08 20:00:00,12,1,30,72,10,False
2018-01-08 21:00:00,12,1,31,75,12,False
2018-01-08 22:00:00,13,1,34,71,15,False
2018-01-08 23:00:00,13,1,37,66,16,False
2018-01-09 00:00:00,14,1,36,67,17,False
2018-01-09 01:00:00,15,1,34,71,18,False
2018-01-09 02:00:00,16,2,33,82,18,False
2018-01-09 03:00:00,14,1,28,78,19,False
2018-01-09 04:00:00,14,1,26,66,17,False
2018-01-09 05:00:00,10,1,21,53,15,False
2018-01-09 06:00:00,8,1,20,46,14,False
2018-01-09 07:00:00,6,1,19,43,12,False
2018-01-09 08:00:00,6,1,19,40,12,False
2018-01-09 09:00:00,6,0,19,39,11,False
2018-01-09 10:00:00,6,1,21,40,11,False
2018-01-09 11:00:00,6,1,22,43,10,False
2018-01-09 12:00:00,6,1,23,44,10,False
2018-01-09 13:00:00,7,1,24,46,9,False
2018-01-09 14:00:00,8,1,25,47,8,False
2018-01-09 15:00:00,8,1,25,49,7,False
2018-01-09 16:00:00,9,1,25,52,7,False
2018-01-09 17:00:00,10,1,27,54,7,False
2018-01-09 18:00:00,10,1,28,56,7,False
2018-01-09 19:00:00,10,1,30,64,9,False
2018-01-09 20:00:00,11,1,29,68,10,False
2018-01-09 21:00:00,12,1,30,70,11,False
2018-01-09 22:00:00,13,1,34,69,14,False
2018-01-09 23:00:00,14,1,37,66,15,False
2018-01-10 00:00:00,14,1,36,65,17,False
2018-01-10 01:00:00,14,1,33,68,17,False
2018-01-10 02:00:00,14,1,30,72,17,False
2018-01-10 03:00:00,13,1,27,70,18,False
2018-01-10 04:00:00,12,1,26,61,17,False
2018-01-10 05:00:00,10,1,22,52,15,False
2018-01-10 06:00:00,8,1,21,46,13,False
2018-01-10 07:00:00,7,1,19,42,12,False
2018-01-10 08:00:00,5,1,20,41,12,False
2018-01-10 09:00:00,6,1,20,39,11,False
2018-01-10 10:00:00,6,0,22,40,11,False
2018-01-10 11:00:00,6,0,22,42,11,False
2018-01-10 12:00:00,6,1,24,45,10,False
2018-01-10 13:00:00,7,1,25,46,9,False
2018-01-10 14:00:00,7,1,24,47,8,False
2018-01-10 15:00:00,8,1,26,48,7,False
2018-01-10 16:00:00,9,1,26,50,7,False
2018-01-10 17:00:00,10,1,28,53,7,False
2018-01-10 18:00:00,10,1,29,61,8,False
2018-01-10 19:00:00,10,1,29,67,8,False
2018-01-10 20:00:00,11,1,30,74,10,False
2018-01-10 21:00:00,12,1,30,76,11,False
2018-01-10 22:00:00,13,1,35,73,14,False
2018-01-10 23:00:00,13,1,37,70,15,False
2018-01-11 00:00:00,14,1,38,68,17,False
2018-01-11 01:00:00,14,1,33,69,18,False
2018-01-11 02:00:00,14,1,29,71,18,False
2018-01-11 03:00:00,14,1,29,72,18,False
2018-01-11 04:00:00,12,1,26,61,16,False
2018-01-11 05:00:00,10,1,24,54,16,False
2018-01-11 06:00:00,8,1,21,49,14,False
2018-01-11 07:00:00,6,1,19,44,12,False
2018-01-11 08:00:00,6,1,18,42,12,False
2018-01-11 09:00:00,5,0,19,43,11,False
2018-01-11 10:00:00,5,0,22,47,11,False
2018-01-11 11:00:00,6,1,22,50,11,False
2018-01-11 12:00:00,7,0,24,50,10,False
2018-01-11 13:00:00,7,1,25,50,10,False
2018-01-11 14:00:00,7,1,24,50,10,False
2018-01-11 15:00:00,8,1,25,52,8,False
2018-01-11 16:00:00,9,1,26,55,8,False
2018-01-11 17:00:00,10,1,28,58,8,False
2018-01-11 18:00:00,11,1,28,61,8,False
2018-01-11 19:00:00,11,1,29,70,9,False
2018-01-11 20:00:00,11,1,29,72,10,False
2018-01-11 21:00:00,12,1,30,78,12,False
2018-01-11 22:00:00,13,1,34,74,14,False
2018-01-11 23:00:00,13,1,37,69,17,False
2018-01-12 00:00:00,14,1,37,68,18,False
2018-01-12 01:00:00,14,1,33,71,17,False
2018-01-12 02:00:00,14,1,30,71,18,False
2018-01-12 03:00:00,13,1,27,70,20,False
2018-01-12 04:00:00,12,1,24,63,17,False
2018-01-12 05:00:00,11,1,23,55,16,False
2018-01-12 06:00:00,8,1,21,51,15,False
2018-01-12 07:00:00,7,1,20,47,12,False
2018-01-12 08:00:00,6,1,19,44,12,False
2018-01-12 09:00:00,6,0,20,43,12,False
2018-01-12 10:00:00,6,1,21,44,12,False
2018-01-12 11:00:00,6,1,22,46,11,False
2018-01-12 12:00:00,6,1,24,50,11,False
2018-01-12 13:00:00,7,1,24,52,10,False
