date,honda,chevy,ford,subaru,isPartial
2018-01-01 00:00:00,48,27,67,11,False
2018-01-01 01:00:00,51,27,67,12,False
2018-01-01 02:00:00,55,28,64,12,False
2018-01-01 03:00:00,57,26,62,11,False
2018-01-01 04:00:00,57,23,55,10,False
2018-01-01 05:00:00,55,19,48,9,False
2018-01-01 06:00:00,55,14,44,8,False
2018-01-01 07:00:00,52,11,39,7,False
2018-01-01 08:00:00,47,7,37,6,False
2018-01-01 09:00:00,46,5,39,6,False
2018-01-01 10:00:00,45,4,41,6,False
2018-01-01 11:00:00,45,4,44,5,False
2018-01-01 12:00:00,46,5,45,6,False
2018-01-01 13:00:00,49,7,50,6,False
2018-01-01 14:00:00,51,11,55,7,False
2018-01-01 15:00:00,51,14,61,9,False
2018-01-01 16:00:00,55,17,66,9,False
2018-01-01 17:00:00,53,20,69,10,False
2018-01-01 18:00:00,53,22,76,11,False
2018-01-01 19:00:00,53,24,79,12,False
2018-01-01 20:00:00,55,26,82,13,False
2018-01-01 21:00:00,55,27,83,13,False
2018-01-01 22:00:00,62,29,85,14,False
2018-01-01 23:00:00,62,32,86,15,False
2018-01-02 00:00:00,66,37,85,16,False
2018-01-02 01:00:00,66,35,84,15,False
2018-01-02 02:00:00,67,31,77,14,False
2018-01-02 03:00:00,72,33,73,14,False
2018-01-02 04:00:00,72,27,63,12,False
2018-01-02 05:00:00,65,18,54,10,False
2018-01-02 06:00:00,59,13,48,8,False
2018-01-02 07:00:00,52,8,44,7,False
2018-01-02 08:00:00,48,5,46,6,False
2018-01-02 09:00:00,45,4,47,6,False
2018-01-02 10:00:00,46,4,50,6,False
2018-01-02 11:00:00,48,5,53,6,False
2018-01-02 12:00:00,52,8,58,7,False
2018-01-02 13:00:00,56,11,65,8,False
2018-01-02 14:00:00,59,15,71,9,False
2018-01-02 15:00:00,60,17,76,10,False
2018-01-02 16:00:00,61,20,79,12,False
2018-01-02 17:00:00,63,23,85,12,False
2018-01-02 18:00:00,63,25,89,13,False
2018-01-02 19:00:00,63,26,92,14,False
2018-01-02 20:00:00,63,27,96,14,False
2018-01-02 21:00:00,65,30,100,15,False
2018-01-02 22:00:00,68,32,96,15,False
2018-01-02 23:00:00,71,35,94,16,False
2018-01-03 00:00:00,73,37,91,16,False
2018-01-03 01:00:00,73,35,85,15,False
2018-01-03 02:00:00,74,34,80,15,False
2018-01-03 03:00:00,72,31,75,14,False
2018-01-03 04:00:00,69,25,63,12,False
2018-01-03 05:00:00,65,18,57,10,False
2018-01-03 06:00:00,58,13,49,8,False
2018-01-03 07:00:00,51,8,46,7,False
2018-01-03 08:00:00,50,6,47,6,False
2018-01-03 09:00:00,45,4,48,6,False
2018-01-03 10:00:00,52,4,52,6,False
2018-01-03 11:00:00,49,5,58,6,False
2018-01-03 12:00:00,51,8,57,7,False
2018-01-03 13:00:00,55,11,64,8,False
2018-01-03 14:00:00,56,14,69,9,False
2018-01-03 15:00:00,57,16,74,10,False
2018-01-03 16:00:00,58,19,77,10,False
2018-01-03 17:00:00,58,21,82,12,False
2018-01-03 18:00:00,59,23,86,12,False
2018-01-03 19:00:00,59,24,90,13,False
2018-01-03 20:00:00,60,26,92,15,False
2018-01-03 21:00:00,61,28,93,15,False
2018-01-03 22:00:00,64,31,94,15,False
2018-01-03 23:00:00,68,34,93,16,False
2018-01-04 00:00:00,71,36,90,16,False
2018-01-04 01:00:00,73,36,85,16,False
2018-01-04 02:00:00,71,35,81,15,False
2018-01-04 03:00:00,70,31,74,14,False
2018-01-04 04:00:00,69,26,63,13,False
2018-01-04 05:00:00,64,19,54,11,False
2018-01-04 06:00:00,58,12,49,9,False
2018-01-04 07:00:00,51,8,47,7,False
2018-01-04 08:00:00,47,6,47,6,False
2018-01-04 09:00:00,45,5,48,6,False
2018-01-04 10:00:00,45,6,50,6,False
2018-01-04 11:00:00,47,6,53,6,False
2018-01-04 12:00:00,49,8,57,7,False
2018-01-04 13:00:00,52,11,63,9,False
2018-01-04 14:00:00,55,15,69,10,False
2018-01-04 15:00:00,55,17,74,11,False
2018-01-04 16:00:00,57,19,76,12,False
2018-01-04 17:00:00,58,21,81,14,False
2018-01-04 18:00:00,56,22,84,15,False
2018-01-04 19:00:00,57,23,88,15,False
2018-01-04 20:00:00,57,25,91,15,False
2018-01-04 21:00:00,59,27,92,15,False
2018-01-04 22:00:00,62,30,92,16,False
2018-01-04 23:00:00,65,33,90,16,False
2018-01-05 00:00:00,68,37,89,17,False
2018-01-05 01:00:00,70,35,84,17,False
2018-01-05 02:00:00,71,34,79,16,False
2018-01-05 03:00:00,71,32,73,16,False
2018-01-05 04:00:00,68,26,65,14,False
2018-01-05 05:00:00,63,19,56,12,False
2018-01-05 06:00:00,58,13,49,10,False
2018-01-05 07:00:00,51,8,48,8,False
2018-01-05 08:00:00,46,5,47,7,False
2018-01-05 09:00:00,44,4,48,6,False
2018-01-05 10:00:00,46,5,51,6,False
2018-01-05 11:00:00,48,6,54,6,False
2018-01-05 12:00:00,50,8,58,7,False
2018-01-05 13:00:00,54,12,63,9,False
2018-01-05 14:00:00,56,15,69,9,False
2018-01-05 15:00:00,56,17,74,11,False
2018-01-05 16:00:00,58,19,77,11,False
2018-01-05 17:00:00,58,21,81,12,False
2018-01-05 18:00:00,59,24,86,12,False
2018-01-05 19:00:00,59,25,91,14,False
2018-01-05 20:00:00,60,27,95,14,False
2018-01-05 21:00:00,61,28,96,15,False
2018-01-05 22:00:00,64,31,95,15,False
2018-01-05 23:00:00,67,33,92,16,False
2018-01-06 00:00:00,70,35,90,16,False
2018-01-06 01:00:00,72,36,87,16,False
2018-01-06 02:00:00,72,35,81,16,False
2018-01-06 03:00:00,72,33,76,14,False
2018-01-06 04:00:00,71,28,68,13,False
2018-01-06 05:00:00,68,22,59,11,False
2018-01-06 06:00:00,63,16,52,9,False
2018-01-06 07:00:00,56,10,47,8,False
2018-01-06 08:00:00,51,8,47,7,False
2018-01-06 09:00:00,49,5,49,7,False
2018-01-06 10:00:00,49,4,52,6,False
2018-01-06 11:00:00,51,5,54,6,False
2018-01-06 12:00:00,53,7,58,8,False
2018-01-06 13:00:00,57,11,66,9,False
2018-01-06 14:00:00,61,16,70,10,False
2018-01-06 15:00:00,62,19,76,11,False
2018-01-06 16:00:00,62,22,84,13,False
2018-01-06 17:00:00,64,25,86,13,False
2018-01-06 18:00:00,63,27,88,14,False
2018-01-06 19:00:00,64,29,90,15,False
2018-01-06 20:00:00,64,29,94,16,False
2018-01-06 21:00:00,64,31,96,16,False
2018-01-06 22:00:00,66,32,94,16,False
2018-01-06 23:00:00,67,35,92,17,False
2018-01-07 00:00:00,67,35,88,16,False
2018-01-07 01:00:00,69,36,85,16,False
2018-01-07 02:00:00,70,35,80,16,False
2018-01-07 03:00:00,72,36,78,15,False
2018-01-07 04:00:00,69,39,68,14,False
2018-01-07 05:00:00,68,24,59,12,False
2018-01-07 06:00:00,63,16,51,12,False
