date,honda,chevy,ford,subaru,isPartial
2019-06-01 00:00:00,59,29,84,13,False
2019-06-01 01:00:00,59,28,66,12,False
2019-06-01 02:00:00,59,25,60,11,False
2019-06-01 03:00:00,57,23,56,10,False
2019-06-01 04:00:00,55,17,48,8,False
2019-06-01 05:00:00,49,12,43,7,False
2019-06-01 06:00:00,45,8,39,6,False
2019-06-01 07:00:00,42,6,38,5,False
2019-06-01 08:00:00,40,4,38,4,False
2019-06-01 09:00:00,41,4,40,4,False
2019-06-01 10:00:00,43,5,41,5,False
2019-06-01 11:00:00,45,7,45,6,False
2019-06-01 12:00:00,50,10,50,7,False
2019-06-01 13:00:00,53,14,54,7,False
2019-06-01 14:00:00,56,16,57,8,False
2019-06-01 15:00:00,57,18,60,9,False
2019-06-01 16:00:00,58,19,63,9,False
2019-06-01 17:00:00,57,21,65,10,False
2019-06-01 18:00:00,56,21,66,10,False
2019-06-01 19:00:00,52,21,65,10,False
2019-06-01 20:00:00,53,22,65,10,False
2019-06-01 21:00:00,57,25,68,11,False
2019-06-01 22:00:00,58,27,71,12,False
2019-06-01 23:00:00,59,29,71,12,False
2019-06-02 00:00:00,59,30,74,12,False
2019-06-02 01:00:00,59,28,64,12,False
2019-06-02 02:00:00,61,26,62,11,False
2019-06-02 03:00:00,58,23,58,10,False
2019-06-02 04:00:00,56,18,47,9,False
2019-06-02 05:00:00,51,13,41,7,False
2019-06-02 06:00:00,47,9,37,6,False
2019-06-02 07:00:00,43,6,36,5,False
2019-06-02 08:00:00,41,4,37,5,False
2019-06-02 09:00:00,39,4,38,4,False
2019-06-02 10:00:00,41,4,40,5,False
2019-06-02 11:00:00,44,6,42,5,False
2019-06-02 12:00:00,47,9,46,6,False
2019-06-02 13:00:00,49,12,50,7,False
2019-06-02 14:00:00,50,14,52,7,False
2019-06-02 15:00:00,52,16,54,8,False
2019-06-02 16:00:00,52,17,57,8,False
2019-06-02 17:00:00,51,18,61,9,False
2019-06-02 18:00:00,52,20,64,9,False
2019-06-02 19:00:00,52,21,65,10,False
2019-06-02 20:00:00,53,22,67,10,False
2019-06-02 21:00:00,56,24,67,10,False
2019-06-02 22:00:00,56,27,68,11,False
2019-06-02 23:00:00,58,30,67,12,False
2019-06-03 00:00:00,57,29,100,12,False
2019-06-03 01:00:00,60,28,70,12,False
2019-06-03 02:00:00,57,24,64,11,False
2019-06-03 03:00:00,55,21,60,10,False
2019-06-03 04:00:00,52,16,50,8,False
2019-06-03 05:00:00,46,9,42,6,False
2019-06-03 06:00:00,40,5,39,5,False
2019-06-03 07:00:00,38,4,38,4,False
2019-06-03 08:00:00,36,3,39,4,False
2019-06-03 09:00:00,35,3,39,4,False
2019-06-03 10:00:00,36,5,42,4,False
2019-06-03 11:00:00,39,7,47,5,False
2019-06-03 12:00:00,43,10,52,6,False
2019-06-03 13:00:00,45,12,56,7,False
2019-06-03 14:00:00,47,13,59,7,False
2019-06-03 15:00:00,49,15,62,8,False
2019-06-03 16:00:00,49,17,64,9,False
2019-06-03 17:00:00,49,17,67,9,False
2019-06-03 18:00:00,50,19,72,9,False
2019-06-03 19:00:00,52,20,74,10,False
2019-06-03 20:00:00,54,21,77,11,False
2019-06-03 21:00:00,56,24,77,11,False
2019-06-03 22:00:00,58,28,77,12,False
2019-06-03 23:00:00,59,31,77,13,False
2019-06-04 00:00:00,59,30,85,12,False
2019-06-04 01:00:00,58,29,69,12,False
2019-06-04 02:00:00,55,25,62,11,False
2019-06-04 03:00:00,53,20,57,10,False
2019-06-04 04:00:00,48,15,49,8,False
2019-06-04 05:00:00,43,10,41,6,False
2019-06-04 06:00:00,39,5,38,5,False
2019-06-04 07:00:00,36,4,37,4,False
2019-06-04 08:00:00,35,5,38,4,False
2019-06-04 09:00:00,35,3,39,4,False
2019-06-04 10:00:00,37,5,43,5,False
2019-06-04 11:00:00,39,7,46,5,False
2019-06-04 12:00:00,42,10,51,6,False
2019-06-04 13:00:00,44,12,54,7,False
2019-06-04 14:00:00,46,13,57,7,False
2019-06-04 15:00:00,47,15,60,8,False
2019-06-04 16:00:00,49,16,62,9,False
2019-06-04 17:00:00,48,17,67,9,False
2019-06-04 18:00:00,49,18,69,9,False
2019-06-04 19:00:00,49,19,73,10,False
2019-06-04 20:00:00,51,20,75,10,False
2019-06-04 21:00:00,53,24,75,11,False
2019-06-04 22:00:00,54,27,75,11,False
2019-06-04 23:00:00,56,29,74,12,False
2019-06-05 00:00:00,55,30,76,12,False
2019-06-05 01:00:00,55,27,66,12,False
2019-06-05 02:00:00,54,26,62,11,False
2019-06-05 03:00:00,51,21,61,10,False
2019-06-05 04:00:00,47,15,46,8,False
2019-06-05 05:00:00,42,9,39,6,False
2019-06-05 06:00:00,38,7,38,5,False
2019-06-05 07:00:00,35,4,37,4,False
2019-06-05 08:00:00,34,3,37,4,False
2019-06-05 09:00:00,33,3,37,4,False
2019-06-05 10:00:00,36,5,41,4,False
2019-06-05 11:00:00,37,7,44,5,False
2019-06-05 12:00:00,42,9,49,6,False
2019-06-05 13:00:00,42,11,52,6,False
2019-06-05 14:00:00,44,13,55,7,False
2019-06-05 15:00:00,46,14,58,8,False
2019-06-05 16:00:00,47,16,61,8,False
2019-06-05 17:00:00,47,17,65,8,False
2019-06-05 18:00:00,48,18,69,9,False
2019-06-05 19:00:00,49,19,71,9,False
2019-06-05 20:00:00,51,21,74,10,False
2019-06-05 21:00:00,54,24,74,11,False
2019-06-05 22:00:00,55,27,73,11,False
2019-06-05 23:00:00,57,29,71,12,False
2019-06-06 00:00:00,55,31,80,12,False
2019-06-06 01:00:00,55,31,64,11,False
2019-06-06 02:00:00,55,25,57,11,False
2019-06-06 03:00:00,51,21,51,9,False
2019-06-06 04:00:00,47,15,43,7,False
2019-06-06 05:00:00,43,10,39,6,False
2019-06-06 06:00:00,41,6,37,5,False
2019-06-06 07:00:00,36,5,36,4,False
2019-06-06 08:00:00,35,4,37,5,False
2019-06-06 09:00:00,36,3,38,5,False
2019-06-06 10:00:00,37,5,42,6,False
2019-06-06 11:00:00,39,7,46,5,False
2019-06-06 12:00:00,42,10,50,6,False
2019-06-06 13:00:00,44,12,54,7,False
2019-06-06 14:00:00,46,13,56,7,False
2019-06-06 15:00:00,48,14,59,8,False
2019-06-06 16:00:00,49,16,62,8,False
2019-06-06 17:00:00,48,17,65,8,False
2019-06-06 18:00:00,48,18,69,9,False
2019-06-06 19:00:00,49,19,70,9,False
2019-06-06 20:00:00,54,21,71,10,False
2019-06-06 21:00:00,54,24,73,11,False
2019-06-06 22:00:00,55,28,72,12,False
2019-06-06 23:00:00,58,30,71,12,False
2019-06-07 00:00:00,57,29,75,12,False
2019-06-07 01:00:00,57,29,65,12,False
2019-06-07 02:00:00,57,26,66,11,False
2019-06-07 03:00:00,54,20,54,10,False
2019-06-07 04:00:00,48,15,43,7,False
2019-06-07 05:00:00,43,9,38,6,False
2019-06-07 06:00:00,40,5,37,5,False
2019-06-07 07:00:00,39,4,36,4,False
2019-06-07 08:00:00,36,3,37,4,False
2019-06-07 09:00:00,37,4,37,5,False
2019-06-07 10:00:00,39,5,41,6,False
2019-06-07 11:00:00,40,7,45,6,False
2019-06-07 12:00:00,44,9,50,7,False
2019-06-07 13:00:00,47,12,54,10,False
2019-06-07 14:00:00,48,14,57,9,False
2019-06-07 15:00:00,49,15,60,10,False
2019-06-07 16:00:00,51,17,63,9,False
2019-06-07 17:00:00,50,18,67,9,False
2019-06-07 18:00:00,50,20,71,10,False
2019-06-07 19:00:00,51,20,75,10,False
2019-06-07 20:00:00,53,22,74,10,False
2019-06-07 21:00:00,55,25,74,11,False
2019-06-07 22:00:00,57,28,75,12,False
2019-06-07 23:00:00,59,30,73,12,False
2019-06-08 00:00:00,58,30,83,12,False
2019-06-15 00:00:00,69,35,95,14,False
2019-06-15 01:00:00,70,33,77,14,False
2019-06-15 02:00:00,70,29,70,13,False
2019-06-15 03:00:00,69,26,67,12,False
2019-06-15 04:00:00,64,18,53,10,False
2019-06-15 05:00:00,59,13,46,8,False
2019-06-15 06:00:00,54,8,43,6,False
2019-06-15 07:00:00,50,6,43,6,False
2019-06-15 08:00:00,49,4,44,5,False
2019-06-15 09:00:00,48,4,45,5,False
2019-06-15 10:00:00,50,5,49,5,False
2019-06-15 11:00:00,53,8,53,6,False
2019-06-15 12:00:00,58,12,60,8,False
2019-06-15 13:00:00,61,15,65,9,False
2019-06-15 14:00:00,63,18,68,10,False
2019-06-15 15:00:00,64,19,71,11,False
2019-06-15 16:00:00,65,22,73,11,False
2019-06-15 17:00:00,65,23,77,11,False
2019-06-15 18:00:00,65,25,81,12,False
2019-06-15 19:00:00,65,26,83,13,False
2019-06-15 20:00:00,66,28,85,14,False
2019-06-15 21:00:00,65,29,84,13,False
2019-06-15 22:00:00,65,32,83,14,False
2019-06-15 23:00:00,65,33,80,14,False
2019-06-16 00:00:00,66,33,87,14,False
2019-06-16 01:00:00,67,32,75,14,False
2019-06-16 02:00:00,67,30,70,13,False
2019-06-16 03:00:00,65,26,68,12,False
2019-06-16 04:00:00,62,19,52,10,False
2019-06-16 05:00:00,57,13,45,8,False
2019-06-16 06:00:00,51,9,42,6,False
2019-06-16 07:00:00,47,6,41,6,False
2019-06-16 08:00:00,45,4,41,5,False
2019-06-16 09:00:00,42,3,42,5,False
2019-06-16 10:00:00,45,5,47,6,False
2019-06-16 11:00:00,51,10,53,7,False
2019-06-16 12:00:00,53,11,55,7,False
2019-06-16 13:00:00,53,12,55,7,False
2019-06-16 14:00:00,55,14,59,8,False
2019-06-16 15:00:00,57,17,64,9,False
2019-06-16 16:00:00,56,19,67,10,False
2019-06-16 17:00:00,55,20,69,10,False
2019-06-16 18:00:00,55,22,74,10,False
2019-06-16 19:00:00,58,24,80,11,False
2019-06-16 20:00:00,60,26,81,12,False
2019-06-16 21:00:00,61,29,81,13,False
2019-06-16 22:00:00,64,34,82,14,False
2019-06-16 23:00:00,67,36,82,15,False
2019-06-17 00:00:00,67,35,85,15,False
2019-06-17 01:00:00,68,33,73,14,False
2019-06-17 02:00:00,68,29,67,13,False
2019-06-17 03:00:00,64,23,59,11,False
2019-06-17 04:00:00,60,16,49,9,False
2019-06-17 05:00:00,54,10,43,7,False
2019-06-17 06:00:00,48,6,47,6,False
2019-06-17 07:00:00,46,4,42,5,False
2019-06-17 08:00:00,45,4,43,5,False
2019-06-17 09:00:00,43,3,43,5,False
2019-06-17 10:00:00,46,8,47,5,False
2019-06-17 11:00:00,49,8,52,6,False
2019-06-17 12:00:00,53,11,57,7,False
2019-06-17 13:00:00,56,13,63,8,False
2019-06-17 14:00:00,57,15,72,9,False
2019-06-17 15:00:00,59,18,71,10,False
2019-06-17 16:00:00,60,20,73,10,False
2019-06-17 17:00:00,60,21,76,11,False
2019-06-17 18:00:00,64,22,81,11,False
2019-06-17 19:00:00,65,23,87,12,False
2019-06-17 20:00:00,63,26,89,13,False
2019-06-17 21:00:00,65,30,90,14,False
2019-06-17 22:00:00,70,34,90,15,False
2019-06-17 23:00:00,73,37,89,15,False
2019-06-18 00:00:00,72,37,99,15,False
2019-06-18 01:00:00,72,34,79,14,False
2019-06-18 02:00:00,70,30,73,14,False
2019-06-18 03:00:00,65,24,61,11,False
2019-06-18 04:00:00,61,16,50,9,False
2019-06-18 05:00:00,54,11,44,7,False
2019-06-18 06:00:00,49,6,42,6,False
2019-06-18 07:00:00,46,4,41,5,False
2019-06-18 08:00:00,44,3,42,4,False
2019-06-18 09:00:00,44,4,43,4,False
2019-06-18 10:00:00,46,6,47,5,False
2019-06-18 11:00:00,49,8,52,6,False
2019-06-18 12:00:00,51,11,56,7,False
2019-06-18 13:00:00,54,13,61,8,False
2019-06-18 14:00:00,56,15,65,10,False
2019-06-18 15:00:00,57,18,69,10,False
2019-06-18 16:00:00,59,19,72,10,False
2019-06-18 17:00:00,59,20,75,11,False
2019-06-18 18:00:00,59,22,80,11,False
2019-06-18 19:00:00,61,25,85,12,False
2019-06-18 20:00:00,63,28,87,13,False
2019-06-18 21:00:00,64,29,85,13,False
2019-06-18 22:00:00,67,33,87,15,False
2019-06-18 23:00:00,71,37,86,15,False
2019-06-19 00:00:00,69,35,95,15,False
2019-06-19 01:00:00,69,32,76,14,False
2019-06-19 02:00:00,68,29,71,13,False
2019-06-19 03:00:00,65,23,61,12,False
2019-06-19 04:00:00,60,16,49,9,False
2019-06-19 05:00:00,53,10,43,7,False
2019-06-19 06:00:00,48,6,41,6,False
2019-06-19 07:00:00,45,7,40,5,False
2019-06-19 08:00:00,43,5,41,5,False
2019-06-19 09:00:00,43,4,42,5,False
2019-06-19 10:00:00,45,6,46,5,False
2019-06-19 11:00:00,47,8,54,6,False
2019-06-19 12:00:00,50,11,61,7,False
2019-06-19 13:00:00,54,13,61,8,False
2019-06-19 14:00:00,55,15,65,9,False
2019-06-19 15:00:00,57,17,68,9,False
2019-06-19 16:00:00,65,19,72,10,False
2019-06-19 17:00:00,59,20,75,11,False
2019-06-19 18:00:00,58,22,80,11,False
2019-06-19 19:00:00,59,23,84,12,False
2019-06-19 20:00:00,60,25,85,12,False
2019-06-19 21:00:00,63,29,86,13,False
2019-06-19 22:00:00,66,33,88,14,False
2019-06-19 23:00:00,69,36,86,15,False
2019-06-20 00:00:00,69,35,97,15,False
2019-06-20 01:00:00,67,32,76,14,False
2019-06-20 02:00:00,68,29,69,13,False
2019-06-20 03:00:00,64,23,58,11,False
2019-06-20 04:00:00,59,16,48,9,False
2019-06-20 05:00:00,54,10,44,7,False
2019-06-20 06:00:00,48,6,41,6,False
2019-06-20 07:00:00,45,4,40,5,False
2019-06-20 08:00:00,43,3,41,4,False
2019-06-20 09:00:00,43,4,43,5,False
2019-06-20 10:00:00,46,6,47,6,False
2019-06-20 11:00:00,48,9,52,6,False
2019-06-20 12:00:00,51,11,58,9,False
2019-06-20 13:00:00,54,14,62,8,False
2019-06-20 14:00:00,56,16,66,9,False
2019-06-20 15:00:00,57,17,70,9,False
2019-06-20 16:00:00,60,19,72,10,False
2019-06-20 17:00:00,57,21,76,10,False
2019-06-20 18:00:00,59,22,81,11,False
2019-06-20 19:00:00,60,23,84,12,False
2019-06-20 20:00:00,61,26,85,12,False
2019-06-20 21:00:00,65,29,87,13,False
2019-06-20 22:00:00,67,33,87,14,False
2019-06-20 23:00:00,70,36,86,15,False
2019-06-21 00:00:00,71,34,95,14,False
2019-06-21 01:00:00,69,33,75,14,False
2019-06-21 02:00:00,70,30,70,13,False
2019-06-21 03:00:00,66,24,62,11,False
2019-06-21 04:00:00,62,18,50,9,False
2019-06-21 05:00:00,57,12,44,7,False
2019-06-21 06:00:00,53,8,41,6,False
2019-06-21 07:00:00,48,5,41,5,False
2019-06-21 08:00:00,46,4,42,4,False
2019-06-21 09:00:00,46,4,43,5,False
2019-06-21 10:00:00,50,6,48,5,False
2019-06-21 11:00:00,52,8,51,6,False
2019-06-21 12:00:00,56,12,58,8,False
2019-06-21 13:00:00,58,14,63,8,False
2019-06-21 14:00:00,59,16,66,9,False
2019-06-21 15:00:00,60,18,69,10,False
2019-06-21 16:00:00,61,20,73,12,False
2019-06-21 17:00:00,61,21,77,13,False
2019-06-21 18:00:00,62,23,82,12,False
2019-06-21 19:00:00,64,24,86,14,False
2019-06-21 20:00:00,65,27,89,14,False
2019-06-21 21:00:00,67,30,89,14,False
2019-06-21 22:00:00,70,33,89,15,False
2019-06-21 23:00:00,73,36,88,17,False
2019-06-22 00:00:00,75,36,100,15,False
2019-06-22 00:00:00,74,35,100,15,False
2019-06-22 01:00:00,74,34,80,14,False
2019-06-22 02:00:00,73,30,74,13,False
2019-06-22 03:00:00,71,26,66,12,False
2019-06-22 04:00:00,67,21,54,10,False
2019-06-22 05:00:00,62,13,46,8,False
2019-06-22 06:00:00,57,8,43,6,False
2019-06-22 07:00:00,53,5,42,5,False
2019-06-22 08:00:00,50,5,45,5,False
2019-06-22 09:00:00,49,5,48,5,False
2019-06-22 10:00:00,52,6,51,5,False
2019-06-22 11:00:00,55,8,53,7,False
2019-06-22 12:00:00,59,12,58,8,False
2019-06-22 13:00:00,63,15,63,9,False
2019-06-22 14:00:00,65,18,67,9,False
2019-06-22 15:00:00,66,21,69,10,False
2019-06-22 16:00:00,65,22,72,11,False
2019-06-22 17:00:00,64,24,74,11,False
2019-06-22 18:00:00,66,25,80,12,False
2019-06-22 19:00:00,66,27,82,13,False
2019-06-22 20:00:00,66,28,84,13,False
2019-06-22 21:00:00,67,30,84,14,False
2019-06-22 22:00:00,70,34,86,14,False
2019-06-22 23:00:00,71,35,85,15,False
2019-06-23 00:00:00,71,35,94,15,False
2019-06-23 01:00:00,71,33,77,14,False
2019-06-23 02:00:00,72,33,76,13,False
2019-06-23 03:00:00,70,28,66,12,False
2019-06-23 04:00:00,66,23,54,10,False
2019-06-23 05:00:00,60,14,46,8,False
2019-06-23 06:00:00,56,9,42,7,False
2019-06-23 07:00:00,53,6,41,6,False
2019-06-23 08:00:00,48,4,41,5,False
2019-06-23 09:00:00,48,4,43,5,False
2019-06-23 10:00:00,48,5,45,5,False
2019-06-23 11:00:00,52,7,48,6,False
2019-06-23 12:00:00,57,10,53,7,False
2019-06-23 13:00:00,59,13,56,7,False
2019-06-23 14:00:00,59,15,59,8,False
2019-06-23 15:00:00,60,18,63,9,False
2019-06-23 16:00:00,59,19,67,9,False
2019-06-23 17:00:00,59,22,70,10,False
2019-06-23 18:00:00,59,23,74,11,False
2019-06-23 19:00:00,58,23,76,12,False
2019-06-23 20:00:00,58,25,77,12,False
2019-06-23 21:00:00,60,29,78,12,False
2019-06-23 22:00:00,66,33,82,14,False
2019-06-23 23:00:00,69,36,82,15,False
2019-06-24 00:00:00,70,36,96,15,False
2019-06-24 01:00:00,71,33,75,14,False
2019-06-24 02:00:00,71,31,71,14,False
2019-06-24 03:00:00,67,25,60,11,False
2019-06-24 04:00:00,63,18,50,9,False
2019-06-24 05:00:00,56,10,43,7,False
2019-06-24 06:00:00,51,7,41,6,False
2019-06-24 07:00:00,47,4,40,5,False
2019-06-24 08:00:00,45,3,41,5,False
2019-06-24 09:00:00,45,3,43,5,False
2019-06-24 10:00:00,47,5,46,5,False
2019-06-24 11:00:00,49,8,52,6,False
2019-06-24 12:00:00,54,11,58,7,False
2019-06-24 13:00:00,57,14,63,8,False
2019-06-24 14:00:00,59,16,66,9,False
2019-06-24 15:00:00,61,18,70,10,False
2019-06-24 16:00:00,60,20,73,10,False
2019-06-24 17:00:00,60,21,76,11,False
2019-06-24 18:00:00,61,23,83,12,False
2019-06-24 19:00:00,62,24,85,12,False
2019-06-24 20:00:00,64,26,88,13,False
2019-06-24 21:00:00,66,30,89,14,False
2019-06-24 22:00:00,70,35,89,15,False
2019-06-24 23:00:00,73,37,88,16,False
2019-06-25 00:00:00,72,36,98,15,False
2019-06-25 01:00:00,71,34,78,15,False
2019-06-25 02:00:00,71,30,72,13,False
2019-06-25 03:00:00,67,26,62,12,False
2019-06-25 04:00:00,62,19,52,9,False
2019-06-25 05:00:00,56,11,44,7,False
2019-06-25 06:00:00,50,6,42,6,False
2019-06-25 07:00:00,46,4,41,5,False
2019-06-25 08:00:00,45,4,42,5,False
2019-06-25 09:00:00,43,4,43,5,False
2019-06-25 10:00:00,47,6,48,5,False
2019-06-25 11:00:00,51,8,52,6,False
2019-06-25 12:00:00,54,11,57,7,False
2019-06-25 13:00:00,56,13,61,8,False
2019-06-25 14:00:00,57,15,64,9,False
2019-06-25 15:00:00,58,17,68,9,False
2019-06-25 16:00:00,59,19,72,10,False
2019-06-25 17:00:00,59,20,75,11,False
2019-06-25 18:00:00,60,22,79,11,False
2019-06-25 19:00:00,61,23,84,11,False
2019-06-25 20:00:00,63,25,87,12,False
2019-06-25 21:00:00,65,30,88,13,False
2019-06-25 22:00:00,69,33,89,14,False
2019-06-25 23:00:00,74,37,88,15,False
